Date,CA,CAQF,CAName,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,"",:,Unknown,"",z,Dose 1,"",2,"","",z,2,"","",z
20201208,"",:,Unknown,"",z,Dose 2,"",0,"","",z,0,"","",z
20201208,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",68,"",0.159646899,"",68,"",0.159646899,""
20201208,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",33,"",0.02627033,"",33,"",0.02627033,""
20201208,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000008,"",East Ayrshire,100957,"",Dose 1,"",42,"",0.04160187,"",42,"",0.04160187,""
20201208,S12000008,"",East Ayrshire,100957,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000010,"",East Lothian,87390,"",Dose 1,"",98,"",0.112140977,"",98,"",0.112140977,""
20201208,S12000010,"",East Lothian,87390,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",14,"",0.018419841,"",14,"",0.018419841,""
20201208,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000014,"",Falkirk,132778,"",Dose 1,"",283,"",0.213137719,"",283,"",0.213137719,""
20201208,S12000014,"",Falkirk,132778,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000017,"",Highland,196794,"",Dose 1,"",1,"",0.000508,"",1,"",0.000508,""
20201208,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000018,"",Inverclyde,65197,"",Dose 1,"",5,"",0.007669065,"",5,"",0.007669065,""
20201208,S12000018,"",Inverclyde,65197,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000019,"",Midlothian,74507,"",Dose 1,"",123,"",0.16508516,"",123,"",0.16508516,""
20201208,S12000019,"",Midlothian,74507,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000020,"",Moray,79675,"",Dose 1,"",1,"",0.001255099,"",1,"",0.001255099,""
20201208,S12000020,"",Moray,79675,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000021,"",North Ayrshire,112272,"",Dose 1,"",49,"",0.043644007,"",49,"",0.043644007,""
20201208,S12000021,"",North Ayrshire,112272,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000026,"",Scottish Borders,96487,"",Dose 1,"",54,"",0.055966089,"",54,"",0.055966089,""
20201208,S12000026,"",Scottish Borders,96487,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000028,"",South Ayrshire,95002,"",Dose 1,"",20,"",0.021052188,"",20,"",0.021052188,""
20201208,S12000028,"",South Ayrshire,95002,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000029,"",South Lanarkshire,264881,"",Dose 1,"",30,"",0.011325841,"",30,"",0.011325841,""
20201208,S12000029,"",South Lanarkshire,264881,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000030,"",Stirling,78793,"",Dose 1,"",177,"",0.224639245,"",177,"",0.224639245,""
20201208,S12000030,"",Stirling,78793,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000033,"",Aberdeen City,193247,"",Dose 1,"",12,"",0.006209669,"",12,"",0.006209669,""
20201208,S12000033,"",Aberdeen City,193247,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000034,"",Aberdeenshire,212194,"",Dose 1,"",18,"",0.008482803,"",18,"",0.008482803,""
20201208,S12000034,"",Aberdeenshire,212194,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000035,"",Argyll and Bute,72964,"",Dose 1,"",1,"",0.001370539,"",1,"",0.001370539,""
20201208,S12000035,"",Argyll and Bute,72964,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000036,"",City of Edinburgh,445863,"",Dose 1,"",390,"",0.087470815,"",390,"",0.087470815,""
